ID 90minut,ID transfermarkt,Imie i Nazwisko,Pozycja,Transfer: sezon,Transfer: data,Transfer: z klubu,Transfer: do klubu,Transfer: wartość rynkowa,Transfer: cena,Sezon_young,Transfer po utracie statusu
21696,225873,Karol Linetty,Środkowy pomocnik,2016/2017,29.07.2016,Lech Poznań,Sampdoria,3200000,3100000,2015/2016,False
21718,255383,Michal Helik,Środkowy obrońca,2017/2018,01.07.2017,Ruch Chorzów,Cracovia,150000,za darmo,2016/2017,True
22405,237363,Krzysztof Szewczyk,Prawy skrzydłowy,2018/2019,14.08.2018,Cracovia,Wislanie J.,100000,za darmo,2017/2018,True
22732,103848,Daniel Dziwniel,Lewy pomocnik,2014/2015,15.01.2015,Ruch Chorzów,FC St. Gallen,600000,300000,2013/2014,True
22781,235862,Paweł Stolarski,Prawy obrońca,2018/2019,14.08.2018,Lechia Gdańsk,Legia Warszawa,500000,500000,2017/2018,True
22884,240811,Michał Pawlik,Środkowy obrońca,2016/2017,21.02.2017,Jagiellonia Białystok,Chrobry Glogow,50000,za darmo,2015/2016,False
22950,255898,Konrad Andrzejczak,Ofensywny pomocnik,2018/2019,03.07.2018,Zagłębie Lubin,GKS Katowice,50000,za darmo,2017/2018,True
23132,208167,Dawid Kownacki,Środkowy napastnik,2017/2018,11.07.2017,Lech Poznań,Sampdoria,3500000,4000000,2016/2017,False
23236,243028,Jan Bednarek,Środkowy obrońca,2017/2018,01.07.2017,Lech Poznań,FC Southampton,500000,6000000,2016/2017,False
23401,253290,Karol Angielski,Środkowy napastnik,2018/2019,01.07.2018,Piast Gliwice,Wisła Płock,200000,za darmo,2017/2018,True
23401,253290,Karol Angielski,Środkowy napastnik,2015/2016,01.07.2015,Śląsk Wrocław,Piast Gliwice,100000,za darmo,2017/2018,False
23401,253290,Karol Angielski,Środkowy napastnik,2014/2015,01.07.2014,Korona Kielce,Śląsk Wrocław,100000,2000,2017/2018,False
23429,242813,Filip Jagiełło,Ofensywny pomocnik,2018/2019,31.01.2019,Zagłębie Lubin,Genua CFC,750000,2000000,2018/2019,False
23448,256863,Patryk Paczuk,Ofensywny pomocnik,2018/2019,16.07.2018,Pogoń Szczecin,Legionovia,50000,za darmo,2017/2018,True
23448,256863,Patryk Paczuk,Ofensywny pomocnik,2014/2015,01.07.2014,Pogoń Szczecin,Pogon II,-,-,2017/2018,False
23478,208166,Bartlomiej Dragowski,Bramkarz,2016/2017,04.07.2016,Jagiellonia Białystok,AC Florenz,2500000,2500000,2015/2016,False
23491,327757,Krzysztof Piatek,Środkowy napastnik,2016/2017,28.08.2016,Zagłębie Lubin,Cracovia,500000,700000,2016/2017,False
24395,259544,Bartlomiej Smuczynski,Prawy pomocnik,2015/2016,07.07.2015,Lechia Gdańsk,Termalica Bruk-Bet Nieciecza,150000,za darmo,2016/2017,False
24420,246579,Bartosz Kapustka,Ofensywny pomocnik,2016/2017,03.08.2016,Cracovia,Leicester City,5000000,5000000,2016/2017,False
24440,185679,Michał Koj,Środkowy obrońca,2015/2016,02.07.2015,Pogoń Szczecin,Ruch Chorzów,100000,za darmo,2014/2015,True
24677,265893,Michał Walski,Defensywny pomocnik,2016/2017,03.08.2016,Pogoń Szczecin,Ruch Chorzów,150000,za darmo,2016/2017,False
25086,270259,Kamil Cupriak,Prawy pomocnik,2016/2017,01.07.2016,Górnik Zabrze,Radomiak Radom,-,za darmo,2015/2016,True
19607,187973,Marcin Flis,Środkowy obrońca,2015/2016,12.02.2016,GKS Bełchatów,Piast Gliwice,150000,za darmo,2014/2015,False
20190,288515,Jakub Mrozik,Środkowy pomocnik,2014/2015,05.02.2015,Cracovia,Chojniczanka,150000,za darmo,2014/2015,False
20313,210363,Mariusz Stepinski,Środkowy napastnik,2016/2017,29.08.2016,Ruch Chorzów,FC Nantes,1500000,2000000,2016/2017,False
20865,216473,Norbert Misiak,Prawy pomocnik,2015/2016,28.07.2015,Legia Warszawa,GKS Bełchatów,100000,za darmo,2014/2015,False
22043,255392,Patryk Lipski,Defensywny pomocnik,2016/2017,11.05.2017,Ruch Chorzów,Vereinslos,800000,-,2015/2016,True
22340,209208,Gracjan Horoszkiewicz,Środkowy obrońca,2016/2017,01.07.2016,Podbeskidzie Bielsko-Biała,Vereinslos,100000,-,2015/2016,False
22340,209208,Gracjan Horoszkiewicz,Środkowy obrońca,2014/2015,17.09.2014,Cracovia,Podbeskidzie Bielsko-Biała,150000,za darmo,2015/2016,False
22767,259881,Damian Szymański,Defensywny pomocnik,2017/2018,17.08.2017,Jagiellonia Białystok,Wisła Płock,200000,25000,2016/2017,True
36527,566350,Daniel Szelagowski,Lewy skrzydłowy,2020/2021,16.09.2020,Korona Kielce,Raków Częstochowa,250000,250000,2022/2023,False
24502,267283,Marcin Staniszewski,Bramkarz,2020/2021,19.08.2020,Arka Gdynia,Bytovia Bytow,50000,za darmo,2019/2020,True
27733,293057,Mateusz Spychała,Prawy pomocnik,2020/2021,21.08.2020,Korona Kielce,Warta Poznań,250000,za darmo,2019/2020,True
29548,383109,Przemyslaw Placheta,Lewy skrzydłowy,2020/2021,27.07.2020,Śląsk Wrocław,Norwich City,675000,3000000,2019/2020,True
29716,384659,Juliusz Letniowski,Defensywny pomocnik,2017/2018,10.08.2017,Lechia Gdańsk,Baltyk Gdynia,50000,za darmo,2019/2020,False
